Family Code,County,Cars,Computer Owned,Internet Status,Transport,Start Time,Travel Time
44,Galway,1,computer_yes,internet_broadband,travel_bus,leave_0830,time_n/a
45,Galway,1,computer_yes,internet_broadband,travel_car,leave_0900,time_60
46,Galway,2,computer_yes,internet_no,travel_foot,leave_0700,time_15
47,Galway,2,computer_no,internet_broadband,travel_foot,leave_0800,time_30
48,Galway,3,computer_yes,internet_broadband,travel_bus,leave_0900,time_15
49,Galway,2,computer_no,internet_broadband,travel_bicycle,leave_0900,time_15
50,Galway,1,computer_yes,internet_broadband,travel_car,leave_0900,time_30
51,Galway,2,computer_yes,internet_broadband,travel_car,leave_after_0930,time_60
52,Galway,1,computer_no,internet_broadband,travel_lift,leave_0800,time_15
53,Galway,1,computer_yes,internet_broadband,travel_lift,leave_0930,time_30
54,Galway,2,computer_no,internet_broadband,travel_other,leave_0930,time_30
55,Galway,1,computer_no,internet_no,travel_lift,leave_0900,time_30
56,Galway,2,computer_yes,internet_broadband,travel_car,leave_0700,time_90
57,Galway,2,computer_yes,internet_broadband,travel_car,leave_0930,time_15
58,Galway,1,computer_yes,internet_other,travel_car,leave_0830,time_30
59,Galway,2,computer_no,internet_broadband,travel_bus,leave_0630,time_90
60,Galway,2,computer_yes,internet_broadband,travel_lift,leave_0900,time_60
61,Galway,1,computer_yes,internet_n/a,travel_bus,leave_0830,time_30
62,Galway,1,computer_yes,internet_no,travel_car,leave_0930,time_15
63,Galway,1,computer_yes,internet_broadband,travel_lift,leave_0700,time_30
64,Galway,2,computer_yes,internet_other,travel_lift,leave_0800,time_15
65,Galway,2,computer_yes,internet_broadband,travel_car,leave_0830,time_n/a
66,Galway,0,computer_yes,internet_broadband,travel_car,leave_0700,time_15
67,Galway,0,computer_yes,internet_broadband,travel_bus,leave_0830,time_n/a
68,Galway,0,computer_yes,internet_broadband,travel_van,leave_0830,time_n/a
69,Galway,1,computer_no,internet_other,travel_car,leave_0900,time_n/a
70,Galway,3,computer_no,internet_broadband,travel_car,leave_0800,time_30
71,Galway,1,computer_yes,internet_broadband,travel_car,leave_0800,time_15
72,Galway,2,computer_no,internet_broadband,travel_car,leave_0830,time_15
73,Galway,2,computer_yes,internet_no,travel_bus,leave_0900,time_n/a
74,Galway,3,computer_yes,internet_broadband,travel_foot,leave_0900,time_15
75,Galway,2,computer_yes,internet_broadband,travel_foot,leave_0800,time_30
76,Galway,1,computer_no,internet_broadband,travel_lift,leave_0830,time_90
77,Galway,2,computer_yes,internet_broadband,travel_foot,leave_0900,time_n/a
78,Galway,2,computer_yes,internet_no,travel_lift,leave_0830,time_30
79,Galway,0,computer_yes,internet_broadband,travel_other,leave_0900,time_45
80,Galway,1,computer_yes,internet_no,travel_lift,leave_after_0930,time_15
81,Galway,2,computer_yes,internet_broadband,travel_foot,leave_0900,time_15
82,Galway,1,computer_no,internet_broadband,travel_car,leave_0900,time_15
83,Galway,3,computer_no,internet_no,travel_bus,leave_0800,time_45
84,Galway,1,computer_yes,internet_broadband,travel_foot,leave_0900,time_15
85,Galway,2,computer_yes,internet_broadband,travel_van,leave_0900,time_45
86,Galway,0,computer_yes,internet_broadband,travel_car,leave_0900,time_30
87,Galway,3,computer_no,internet_other,travel_lift,leave_0700,time_90
88,Galway,1,computer_yes,internet_broadband,travel_lift,leave_0930,time_45
89,Galway,2,computer_no,internet_broadband,travel_foot,leave_0800,time_15
90,Galway,4,computer_n/a,internet_broadband,travel_bus,leave_0900,time_30
91,Galway,1,computer_no,internet_other,travel_car,leave_0900,time_45
92,Galway,1,computer_no,internet_broadband,travel_car,leave_0830,time_30
93,Galway,0,computer_yes,internet_broadband,travel_bus,leave_0800,time_15
94,Galway,1,computer_no,internet_no,travel_other,leave_0800,time_n/a
95,Galway,1,computer_yes,internet_no,travel_car,leave_0830,time_30
96,Galway,1,computer_yes,internet_broadband,travel_lift,leave_0930,time_60
97,Galway,1,computer_yes,internet_broadband,travel_car,leave_0900,time_30
98,Leitrim,4,computer_yes,internet_broadband,travel_lift,leave_0830,time_15
99,Leitrim,1,computer_no,internet_no,travel_car,leave_after_0930,time_30
100,Leitrim,1,computer_no,internet_no,travel_van,leave_0900,time_60
101,Leitrim,1,computer_yes,internet_other,travel_lift,leave_0900,time_n/a
102,Leitrim,1,computer_yes,internet_broadband,travel_foot,leave_0700,time_30
103,Leitrim,1,computer_yes,internet_broadband,travel_bus,leave_0930,time_15
104,Leitrim,2,computer_no,internet_broadband,travel_lift,leave_after_0930,time_n/a
105,Leitrim,0,computer_yes,internet_broadband,travel_foot,leave_0930,time_90
106,Leitrim,1,computer_yes,internet_no,travel_foot,leave_after_0930,time_15
107,Leitrim,0,computer_yes,internet_no,travel_car,leave_0900,time_30
108,Leitrim,2,computer_yes,internet_no,travel_other,leave_0830,time_45
109,Leitrim,0,computer_yes,internet_broadband,travel_van,leave_0900,time_15
110,Leitrim,1,computer_no,internet_broadband,travel_bus,leave_0900,time_90+
111,Leitrim,1,computer_yes,internet_broadband,travel_foot,leave_0900,time_15
112,Leitrim,1,computer_yes,internet_broadband,travel_car,leave_0900,time_30
113,Leitrim,3,computer_no,internet_broadband,travel_other,leave_0730,time_15
114,Leitrim,0,computer_yes,internet_no,travel_car,leave_after_0930,time_30
115,Leitrim,3,computer_yes,internet_no,travel_bus,leave_0900,time_45
116,Leitrim,2,computer_yes,internet_broadband,travel_car,leave_0630,time_n/a
117,Leitrim,0,computer_yes,internet_no,travel_car,leave_0930,time_30
118,Leitrim,1,computer_yes,internet_other,travel_lift,leave_0730,time_15
119,Leitrim,1,computer_yes,internet_other,travel_lift,leave_0900,time_n/a
120,Leitrim,0,computer_no,internet_no,travel_other,leave_0930,time_15
121,Leitrim,2,computer_yes,internet_no,travel_lift,leave_0900,time_90
122,Leitrim,1,computer_yes,internet_no,travel_car,leave_0900,time_15
123,Leitrim,1,computer_no,internet_broadband,travel_foot,leave_0930,time_15
124,Leitrim,1,computer_yes,internet_other,travel_bus,leave_n/a,time_15
125,Leitrim,1,computer_yes,internet_no,travel_foot,leave_0830,time_45
126,Leitrim,2,computer_no,internet_broadband,travel_car,leave_0730,time_30
127,Leitrim,1,computer_yes,internet_broadband,travel_bus,leave_0930,time_90
128,Leitrim,0,computer_yes,internet_no,travel_lift,leave_n/a,time_30
129,Leitrim,3,computer_yes,internet_n/a,travel_van,leave_0800,time_30
130,Leitrim,3,computer_yes,internet_broadband,travel_car,leave_n/a,time_15
131,Leitrim,2,computer_no,internet_no,travel_car,leave_0700,time_45
132,Leitrim,1,computer_yes,internet_broadband,travel_lift,leave_after_0930,time_15
133,Leitrim,1,computer_no,internet_no,travel_van,leave_0700,time_30
134,Leitrim,1,computer_yes,internet_no,travel_car,leave_n/a,time_15
135,Leitrim,2,computer_yes,internet_broadband,travel_car,leave_0730,time_15
136,Leitrim,1,computer_yes,internet_no,travel_car,leave_0900,time_n/a
137,Leitrim,1,computer_yes,internet_broadband,travel_lift,leave_0900,time_15
138,Leitrim,1,computer_no,internet_broadband,travel_lift,leave_0800,time_15
139,Leitrim,1,computer_yes,internet_no,travel_lift,leave_0830,time_45
140,Leitrim,1,computer_yes,internet_no,travel_car,leave_after_0930,time_30
141,Leitrim,1,computer_no,internet_broadband,travel_car,leave_0800,time_30
142,Mayo,1,computer_yes,internet_broadband,travel_car,leave_0930,time_30
143,Mayo,2,computer_yes,internet_broadband,travel_car,leave_after_0930,time_30
144,Mayo,0,computer_yes,internet_broadband,travel_car,leave_0930,time_60
145,Mayo,2,computer_yes,internet_no,travel_car,leave_after_0930,time_15
146,Mayo,2,computer_no,internet_broadband,travel_van,leave_0900,time_n/a
147,Mayo,2,computer_no,internet_no,travel_lift,leave_0730,time_30
148,Mayo,1,computer_yes,internet_broadband,travel_bus,leave_0900,time_60
149,Mayo,2,computer_yes,internet_broadband,travel_car,leave_0800,time_15
150,Mayo,3,computer_yes,internet_other,travel_lift,leave_0830,time_30
151,Mayo,4,computer_yes,internet_broadband,travel_lift,leave_0900,time_30
152,Mayo,2,computer_yes,internet_broadband,travel_bus,leave_0930,time_15
153,Mayo,1,computer_yes,internet_no,travel_car,leave_0730,time_15
154,Mayo,1,computer_yes,internet_n/a,travel_other,leave_0900,time_45
155,Mayo,1,computer_yes,internet_no,travel_other,leave_0900,time_15
156,Mayo,2,computer_no,internet_other,travel_van,leave_0900,time_15
157,Mayo,1,computer_no,internet_broadband,travel_lift,leave_0900,time_45
158,Mayo,2,computer_yes,internet_no,travel_lift,leave_n/a,time_45
159,Mayo,2,computer_yes,internet_no,travel_car,leave_0730,time_45
160,Mayo,1,computer_yes,internet_other,travel_foot,leave_0800,time_30
161,Mayo,2,computer_yes,internet_other,travel_other,leave_n/a,time_30
162,Mayo,1,computer_yes,internet_no,travel_car,leave_0830,time_n/a
163,Mayo,2,computer_yes,internet_no,travel_car,leave_0830,time_30
164,Mayo,1,computer_yes,internet_other,travel_car,leave_0930,time_30
165,Mayo,3,computer_no,internet_broadband,travel_car,leave_0830,time_30
166,Mayo,0,computer_yes,internet_other,travel_lift,leave_0830,time_30
167,Mayo,1,computer_no,internet_broadband,travel_lift,leave_0900,time_15
168,Mayo,3,computer_yes,internet_broadband,travel_other,leave_0930,time_15
169,Mayo,0,computer_no,internet_n/a,travel_van,leave_0900,time_15
170,Mayo,2,computer_no,internet_no,travel_foot,leave_0800,time_30
171,Mayo,0,computer_yes,internet_broadband,travel_lift,leave_0830,time_15
172,Mayo,2,computer_yes,internet_n/a,travel_lift,leave_0700,time_n/a
173,Mayo,1,computer_yes,internet_broadband,travel_car,leave_0700,time_15
174,Mayo,2,computer_yes,internet_broadband,travel_lift,leave_0830,time_n/a
175,Mayo,1,computer_yes,internet_broadband,travel_car,leave_0830,time_15
176,Mayo,1,computer_yes,internet_no,travel_car,leave_n/a,time_30
177,Mayo,1,computer_yes,internet_broadband,travel_lift,leave_0900,time_60
178,Mayo,2,computer_yes,internet_n/a,travel_lift,leave_0900,time_30
179,Mayo,3,computer_yes,internet_no,travel_bus,leave_0930,time_45
180,Mayo,1,computer_no,internet_no,travel_car,leave_0930,time_30
181,Mayo,2,computer_no,internet_broadband,travel_car,leave_0830,time_30
182,Mayo,1,computer_yes,internet_no,travel_car,leave_0830,time_15
183,Mayo,1,computer_yes,internet_broadband,travel_motorcycle,leave_0700,time_15
184,Mayo,2,computer_no,internet_no,travel_lift,leave_0900,time_15
185,Mayo,0,computer_yes,internet_broadband,travel_car,leave_0930,time_n/a
186,Mayo,2,computer_no,internet_no,travel_car,leave_0900,time_15
187,Roscommon,2,computer_yes,internet_no,travel_lift,leave_0900,time_15
188,Roscommon,0,computer_yes,internet_no,travel_car,leave_0800,time_15
189,Roscommon,1,computer_yes,internet_broadband,travel_bus,leave_0930,time_90
190,Roscommon,4,computer_yes,internet_broadband,travel_lift,leave_0900,time_30
191,Roscommon,2,computer_yes,internet_n/a,travel_lift,leave_0830,time_30
192,Roscommon,2,computer_yes,internet_broadband,travel_car,leave_0830,time_15
193,Roscommon,1,computer_yes,internet_no,travel_car,leave_0830,time_90
194,Roscommon,1,computer_yes,internet_broadband,travel_car,leave_0830,time_15
195,Roscommon,1,computer_no,internet_broadband,travel_car,leave_0900,time_45
196,Roscommon,0,computer_no,internet_broadband,travel_car,leave_0730,time_45
197,Roscommon,2,computer_yes,internet_no,travel_car,leave_0700,time_n/a
198,Roscommon,3,computer_yes,internet_other,travel_car,leave_0900,time_45
199,Roscommon,1,computer_yes,internet_no,travel_car,leave_0930,time_30
200,Roscommon,1,computer_yes,internet_broadband,travel_lift,leave_after_0930,time_60
201,Roscommon,1,computer_yes,internet_broadband,travel_car,leave_0730,time_n/a
202,Roscommon,1,computer_no,internet_broadband,travel_car,leave_0900,time_30
203,Roscommon,2,computer_no,internet_broadband,travel_van,leave_0900,time_15
204,Roscommon,1,computer_yes,internet_broadband,travel_car,leave_0900,time_90
205,Roscommon,1,computer_no,internet_no,travel_car,leave_0930,time_60
206,Roscommon,1,computer_n/a,internet_broadband,travel_car,leave_0830,time_n/a
207,Roscommon,1,computer_n/a,internet_broadband,travel_bus,leave_0900,time_30
208,Roscommon,1,computer_yes,internet_broadband,travel_car,leave_0730,time_45
209,Roscommon,1,computer_yes,internet_no,travel_car,leave_0900,time_45
210,Roscommon,2,computer_yes,internet_broadband,travel_van,leave_0730,time_60
211,Roscommon,2,computer_yes,internet_broadband,travel_lift,leave_0900,time_15
212,Roscommon,1,computer_yes,internet_broadband,travel_car,leave_0830,time_30
213,Roscommon,1,computer_no,internet_broadband,travel_car,leave_0830,time_30
214,Roscommon,1,computer_yes,internet_broadband,travel_lift,leave_0930,time_45
215,Roscommon,3,computer_yes,internet_broadband,travel_other,leave_0830,time_15
216,Roscommon,1,computer_yes,internet_broadband,travel_lift,leave_n/a,time_15
217,Roscommon,2,computer_no,internet_broadband,travel_car,leave_0900,time_30
218,Roscommon,2,computer_yes,internet_broadband,travel_car,leave_0900,time_45
219,Roscommon,0,computer_yes,internet_broadband,travel_car,leave_0830,time_15
220,Roscommon,2,computer_yes,internet_other,travel_car,leave_0830,time_30
221,Roscommon,2,computer_yes,internet_broadband,travel_lift,leave_n/a,time_15
222,Roscommon,1,computer_yes,internet_broadband,travel_lift,leave_0900,time_45
223,Roscommon,1,computer_no,internet_broadband,travel_bus,leave_0830,time_15
224,Roscommon,2,computer_no,internet_no,travel_lift,leave_0930,time_15
225,Roscommon,2,computer_yes,internet_broadband,travel_lift,leave_0630,time_30
226,Sligo,2,computer_yes,internet_broadband,travel_van,leave_0830,time_15
227,Sligo,1,computer_yes,internet_broadband,travel_car,leave_0900,time_30
228,Sligo,1,computer_yes,internet_no,travel_car,leave_0930,time_15
229,Sligo,3,computer_yes,internet_no,travel_lift,leave_n/a,time_15
230,Sligo,1,computer_no,internet_broadband,travel_car,leave_0900,time_30
231,Sligo,1,computer_yes,internet_no,travel_foot,leave_0930,time_45
232,Sligo,2,computer_yes,internet_n/a,travel_lift,leave_0800,time_30
233,Sligo,2,computer_yes,internet_other,travel_bus,leave_0900,time_15
234,Sligo,2,computer_no,internet_broadband,travel_foot,leave_0900,time_90
235,Sligo,2,computer_yes,internet_broadband,travel_foot,leave_0830,time_30
236,Sligo,2,computer_yes,internet_no,travel_bus,leave_0900,time_15
237,Sligo,1,computer_no,internet_broadband,travel_car,leave_0730,time_30
238,Sligo,2,computer_yes,internet_no,travel_lift,leave_0900,time_45
239,Sligo,1,computer_yes,internet_broadband,travel_car,leave_0900,time_15
240,Sligo,0,computer_no,internet_broadband,travel_car,leave_0930,time_60
241,Sligo,0,computer_yes,internet_broadband,travel_lift,leave_0930,time_60
242,Sligo,1,computer_no,internet_no,travel_car,leave_0900,time_15
243,Sligo,2,computer_yes,internet_no,travel_other,leave_0830,time_90+
244,Sligo,1,computer_yes,internet_broadband,travel_car,leave_0900,time_15
245,Sligo,1,computer_yes,internet_no,travel_car,leave_0730,time_30
246,Sligo,1,computer_yes,internet_broadband,travel_foot,leave_0700,time_30
247,Sligo,2,computer_no,internet_broadband,travel_foot,leave_0900,time_30
248,Sligo,1,computer_yes,internet_broadband,travel_car,leave_0800,time_30
249,Sligo,2,computer_yes,internet_broadband,travel_foot,leave_0800,time_30
250,Sligo,1,computer_no,internet_no,travel_lift,leave_0800,time_60
251,Sligo,2,computer_yes,internet_no,travel_bus,leave_0800,time_30
252,Sligo,1,computer_no,internet_no,travel_lift,leave_0900,time_45
253,Sligo,1,computer_yes,internet_broadband,travel_other,leave_0900,time_45
254,Sligo,1,computer_yes,internet_other,travel_car,leave_0930,time_45
255,Sligo,1,computer_yes,internet_no,travel_car,leave_0800,time_60
256,Sligo,0,computer_no,internet_broadband,travel_other,leave_0930,time_15
257,Sligo,0,computer_yes,internet_broadband,travel_car,leave_0930,time_45
258,Sligo,2,computer_yes,internet_no,travel_bus,leave_0700,time_n/a
259,Sligo,1,computer_yes,internet_no,travel_foot,leave_0900,time_15
